key,kind,source_treatment,source_section,owner,task,label,data_type,required,condition,validation,example,downstream_use
procuring_entity.name,value,Inherited,S7.1,Requisition,,Procuring Entity name,text,TRUE,,Non-null; matches the authorised Requisition,Ministry of Health,Invitation opening paragraph; TDS ITT1.1; Form of Tender; Certificate of Independent Tender Determination; Form SD1/SD2; Confidential Business Questionnaire; SCC GCC1.1(h); Section VIII forms
procuring_entity.address,value,Inherited,S7.1,Requisition,,Procuring Entity address,text,TRUE,,Non-null,"Afya House, Cathedral Road, Nairobi","Invitation opening paragraph (PE name/contract name block, COV-007)"
procuring_entity.contact_office,value,Inherited,S7.1,Requisition,,"PE contact office (clarification, submission and contract notices)",text,TRUE,,"Sourced from governed PE data, not free text","Ministry of Health Procurement Office, procurement@moh.example.test","Invitation electronic-access paragraph, S11.1 item 5 (also covers the governed electronic-access/download particulars from COV-011 and COV-013, mapped to this existing key rather than a new one); TDS ITT6.1/6.5/49.1; Form of Tender Code of Ethics website reference; SCC GCC8.1 notices"
tender.procurement_method,value,Inherited,S7.1,Requisition,,Procurement method,enum,TRUE,,Must be Open Tender - Goods for template compatibility (S2),Open Tender,TDS ITT1.1; Invitation method statement; template-compatibility check
requisition.requirement_title,value,Inherited,S7.1,Requisition,,Requirement title (defaults the Tender title),text,TRUE,,"Used only as the default seed for tender.title, not rendered independently",Supply and delivery of business laptops,Seeds tender.title at Task 1; not separately rendered once tender.title is confirmed
requisition.authorised_quantity,value,Inherited,S7.1,Requisition,,Authorised quantity,number,TRUE,,Goods row quantities must reconcile with this total,250 Each,Quantity-reconciliation check against goods rows (S8.1); not printed as a standalone figure
requisition.authorised_value,value,Inherited,S7.1,Requisition,,Authorised value,currency_amount,TRUE,,Scope/change-control check only; not disclosed unless required,"KES 50,000,000.00",Internal scope/change-control check; not rendered in supplier-facing text unless a specific clause requires disclosure
requisition.expected_delivery_date,value,Inherited,S7.1,Requisition,,Expected delivery date (latest permitted),date,TRUE,,goods.latest_delivery_date must not be later than this date,30 September 2027,"Validation bound for goods.latest_delivery_date (S8.1); internal check, not separately printed"
requisition.related_services_authorized,condition,Inherited,S7.1,Requisition,,Approved related-service need (gates the related-services schedule),boolean,TRUE,,Determines whether Section V.2 and the service_rows loop render,FALSE,Gates the service_rows loop and Section V.2 heading (S8.2)
tender.title,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender title,text,TRUE,,Non-null; defaults from requisition.requirement_title but officer may edit,Supply and delivery of business laptops,Invitation heading; TDS ITT1.1; Form of Tender; Certificate of Independent Tender Determination; Form SD1/SD2; Beneficial Ownership Disclosure Form
tender.issue_date,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender issue date,date,TRUE,,Non-null,15 May 2027,Invitation publication date; TDS
tender.clarification_deadline,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Clarification deadline,datetime,TRUE,,"After issue date, before submission deadline","27 May 2027, 17:00 EAT",Invitation clarification paragraph; TDS ITT6.1
tender.submission_deadline,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Submission deadline,datetime,TRUE,,"Non-null, after issue date and clarification deadline","5 June 2027, 11:00 EAT",Invitation submission-deadline paragraph; TDS ITT21.1; feeds tender.opening_datetime generation
tender.validity_days,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender validity in days,number,TRUE,,"Non-null, multiple of seven",120,TDS ITT17.1; feeds tender.validity_date generation; Form of Tender
tender.tender_security.type,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender security treatment,enum,TRUE,,Fixed to 'Tender Security' for Version 1.0; the Tender-Securing Declaration path is excluded (open_issues.md Pass 2 item 7),Tender Security,Invitation security summary; TDS ITT18.1; determines that the Form of Tender Security (not the Declaration) is the applicable form
tender.tender_security.currency,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender security currency,currency_code,TRUE,,Should equal tender.currency unless otherwise justified,KES,Invitation security summary; TDS ITT18.1; Form of Tender Security prefill
tender.tender_security.amount,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender security amount,currency_amount,TRUE,,"Non-null, positive","KES 500,000.00",Invitation security summary; TDS ITT18.1; Form of Tender Security prefill
tender.pre_tender_meeting.enabled,condition,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Pre-tender meeting held (Yes/No),boolean,TRUE,,,FALSE,Gates the pre-tender-meeting paragraph in the Invitation/TDS (ITT 6.2-6.3)
tender.pre_tender_meeting.details,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Pre-tender meeting date/location/details,text,FALSE,tender.pre_tender_meeting.enabled,Required only when tender.pre_tender_meeting.enabled is TRUE,N/A - no pre-tender meeting,Invitation/TDS ITT6.2-6.3 when enabled
goods.description,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Goods description (per row),text,TRUE,,"Plain, supplier-readable",Business laptops,Section V.1 goods schedule row; Form of Tender clause (d) conformity summary; Price Schedule row identity
goods.quantity,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Quantity (per row),number,TRUE,,Total across rows must reconcile with requisition.authorised_quantity,250,Section V.1 goods schedule row; Price Schedule row
goods.unit,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Unit (per row),enum,TRUE,,From the governed unit list,Each,Section V.1 goods schedule row
goods.destination,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Final destination (per row),text,TRUE,,Required,"Ministry of Health Headquarters, Afya House, Nairobi",Section V.1 goods schedule row; TDS ITT13.8
goods.latest_delivery_date,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Latest delivery date (per row),date,TRUE,,Not later than requisition.expected_delivery_date,30 September 2027,Section V.1 goods schedule row; SCC delivery/warranty rows
goods.minimum_warranty,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Minimum warranty (per row),text,TRUE,,Required for this pattern,36 months,Section V.1 goods schedule row; TDS ITT15.4; SCC GCC28.3 warranty rows
tender.currency,value,Officer value,S7.2 Price schedule,Procurement Officer,Task 3 Price schedule,Tender currency,currency_code,TRUE,,Exactly one currency (S2/S6),KES,TDS/Price Schedule header; ITT14 currency clause
price.fixed_price_confirmed,value,Officer value,S7.2 Price schedule,Procurement Officer,Task 3 Price schedule,Fixed-price confirmation,boolean,TRUE,,"Must equal TRUE for Version 1.0 - price adjustment not supported (S6); the rendered clauses (COV-129 TDS ITT13.5, COV-250 SCC GCC15.1) state this as fixed wording once confirmed",TRUE,TDS ITT13.5/17.3; SCC GCC15.1 (rendered as 'prices shall not be adjustable')
price.tax_display_treatment,value,Officer value,S7.2 Price schedule,Procurement Officer,Task 3 Price schedule,Tax display treatment,enum,TRUE,,One of 'Shown separately' / 'Included',Shown separately,Price Schedule form header and total presentation
submission.manufacturer_authorisation_required,condition,Officer value,S7.2 Submission/evaluation,Procurement Officer,Task 4 Submission and evaluation,Manufacturer authorisation required,boolean,TRUE,,,TRUE,TDS ITT16.2(a); gates inclusion of the Manufacturer's Authorization Form (COV-230)
submission.datasheet_required,condition,Officer value,S7.2 Submission/evaluation,Procurement Officer,Task 4 Submission and evaluation,Datasheet or brochure required,boolean,TRUE,,,TRUE,Evidence checklist entry
submission.comparable_experience.required,condition,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Comparable supply experience required (if justified),boolean,TRUE,,Only set TRUE with a stated justification,TRUE,Gates Section III.4.2(b) qualification criterion
submission.comparable_experience.count,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Number of comparable supply contracts required,number,FALSE,submission.comparable_experience.required,,2,Section III.4.2(b) qualification criterion
submission.comparable_experience.period_years,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Period over which comparable contracts are counted (years),number,FALSE,submission.comparable_experience.required,,5,Section III.4.2(b) qualification criterion
submission.after_sales_support_required,condition,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,After-sales support evidence required (if justified),boolean,TRUE,,,TRUE,TDS ITT16.2(b); gates the after-sales evidence checklist entry
submission.after_sales_support_evidence,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Stated after-sales support evidence required,text,FALSE,submission.after_sales_support_required,Must state what evidence proves the requirement,Service-centre details and escalation contacts,Evidence checklist entry
submission.additional_evidence.required,condition,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Additional evidence item required,boolean,TRUE,,Only one short additional item permitted,FALSE,Gates the additional-evidence checklist entry
submission.additional_evidence.description,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Additional evidence item description,text,FALSE,submission.additional_evidence.required,Must state the requirement it proves,N/A,Evidence checklist entry
