coverage_id,source_page_start,source_page_end,section_number,heading,item_type,treatment,owner_key,render_location,readiness_check,status,review_note
COV-001,1,1,,Document title page (DOC.4 - Standard Tender Documents for Procurement of Goods),cover_block,Not used by this released pattern,,"Excluded from complete_tender.html (this page is the STD master's own title page, not the issued Tender)",N/A - page is discarded during curation,Reviewed,"Guideline 6 (page 5 of source, Appendix to the Preface): 'The Cover Page of this document, the Preface, Guidelines or notes to users ... should not be part of the tender Document to be issued to Tenderers.' Guideline 2(a) confirms the issued document starts at the NAME/LOGO/ADDRESS identification page, not this title page."
COV-002,2,4,,Table of Contents,cover_block,Not used by this released pattern,,"Excluded from complete_tender.html (front matter of the master STD, not the issued Tender); KenTender's rendered Tender uses its own section order per STD-TPL-001 S11",N/A - page is discarded during curation,Reviewed,Guideline 6 groups this with the excluded 'Cover Page ... Guidelines or notes to users' front matter; no TDS/officer value renders a manual table of contents in this release.
COV-003,5,5,,Preface,cover_block,Not used by this released pattern,,Excluded from complete_tender.html,N/A - page is discarded during curation,Reviewed,Guideline 6 (page 5): 'the Preface ... should not be part of the tender Document to be issued to Tenderers.'
COV-004,6,7,,Appendix to the Preface - Guidelines for Preparation of Tender Documents (items 1-24),preparer_instruction,Not used by this released pattern,,Excluded from complete_tender.html,N/A - page is discarded during curation,Reviewed,"Guideline 6 (page 5): 'Guidelines or notes to users ... should not be part of the tender Document to be issued to Tenderers.' This block is PPRA guidance to the Procuring Entity preparing the STD, not Tenderer-facing content."
COV-005,8,8,,"Tender identification cover page (NAME, LOGO AND ADDRESS OF THE PROCURING ENTITY / NAME AND IDENTIFICATION OF TENDER)",cover_block,Generated,tender.reference; procuring_entity.name; tender.title,complete_tender.html cover page (first page of the issued Tender),Procuring Entity name and Tender title/reference are non-null and reconcile with the Requisition,Reviewed,"Guideline 2(a): the issued Tender Document 'shall start with the page titled This Page, NAME, LOGO AND ADDRESS OF THE PROCURING ENTITY, NAME AND IDENTIFICATION OF TENDER'."
COV-006,9,10,,Invitation to Tender,heading,Generated,tender.reference; procuring_entity.name; procuring_entity.address; tender.title; tender.submission_deadline; tender.submission_electronic; tender.tender_security.*,invitation_to_tender.html - full notice (heading row),"All bracketed [insert] fields resolved from inherited Requisition facts, officer Task 1 decisions and the fixed release choices (national/international, electronic submission)",Reviewed,"Represents the separate Invitation notice as a whole. Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-007,9,9,,Invitation to Tender - Procuring Entity and contract name/description [insert],blank,Inherited,procuring_entity.name; procuring_entity.address; tender.title,invitation_to_tender.html - opening paragraph (PE name / contract name),present in Requisition,Reviewed,"Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-008,9,9,,Invitation to Tender - open competitive method National/International [Select one],option_instruction,Not used by this released pattern,,"invitation_to_tender.html - method statement, fixed to 'National Open Tender' (S11.1 item 3)","N/A - rendered as fixed wording, no runtime choice",Reviewed,"Resolved 2026-08-28 (Pass 4): National Open Tender selected for Version 1.0 (matches the narrow domestic-equipment product scope and the single-currency KES KEBS fixture); International Tender wording rejected/removed per S6. Gate D remediation - review sweep: possible redundant phrasing risk flagged - invitation_to_tender.html/complete_tender.html combine a hardcoded ""National Open Tender"" label with {{ tender.procurement_method }}; if that field's value itself resolves to include ""Open Tender"" wording this could read redundantly (e.g. ""National Open Tender under the Open Tender method""). No fixture data available to confirm the actual rendered value. Judgement call for the template/data owner to confirm tender.procurement_method's value space, not fixed here."
COV-009,9,9,,Invitation to Tender - Reservation group eligibility clause [insert if applicable],option_instruction,Not used by this released pattern,,N/A - clause omitted from invitation_to_tender.html,N/A,Reviewed,"Reservation-group eligibility is not used by this released pattern (S2 binding decisions do not include margin of preference/reservation for V1.0 without separate reviewer approval). Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-010,9,9,,Invitation to Tender - Multiple contracts/lots clause [insert if applicable],option_instruction,Not used by this released pattern,,N/A - clause omitted from invitation_to_tender.html,N/A,Reviewed,"One award package only (S2); multiple-contracts/lots clause not used. Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-011,9,9,,Invitation to Tender - office hours for inspecting Tender Documents [insert],blank,Generated,platform.public_url; procuring_entity.contact_office,invitation_to_tender.html - electronic access paragraph (replaces physical office-hours wording),governed platform publication URL and PE clarification channel both present; missing data blocks publication,Reviewed,"Resolved 2026-08-28 (product owner): fixed electronic-access text sourced from governed platform/PE data (platform.publication_url, procuring_entity.clarification_channel). Not an officer field; missing governed data blocks publication. Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document). Gate C (2026-08-28): owner_key finalized to platform.public_url (reused for both e-Procurement address and electronic document access, no separate publication-URL field) and procuring_entity.contact_office (reused for the clarification channel, no new key)."
COV-012,9,9,,Invitation to Tender - non-refundable document fee / purchase instructions,option_instruction,Not used by this released pattern,,N/A - clause omitted from invitation_to_tender.html,N/A,Reviewed,"Electronic publication removes any non-refundable document-fee/purchase concept (S6 electronic submission). Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-013,9,9,,Invitation to Tender - electronic download and clarification particulars [insert website/email],blank,Inherited,procuring_entity.contact_office,invitation_to_tender.html - electronic access paragraph (S11.1 item 4: governed KenTender access address and submission channel),present in governed PE/platform data,Reviewed,"Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-014,9,9,,Invitation to Tender - Tender Security or Tender-Securing Declaration [insert] amount/currency,blank,Officer value,tender.tender_security.type; tender.tender_security.currency; tender.tender_security.amount,"invitation_to_tender.html - Tender-security summary (S11.1 item 7, rendered only when a security applies)",present in TDS and reconciles with Task 1,Reviewed,"Version 1.0 uses a Tender Security only (see COV-227/228/229 - Tender-Securing Declaration not used); wording narrowed accordingly at Pass 4. Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-015,9,9,,Invitation to Tender - submission deadline [insert time and date],blank,Officer value,tender.submission_deadline,invitation_to_tender.html - submission deadline (S11.1 item 6),"non-null, after issue date",Reviewed,"Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-016,9,9,,Invitation to Tender - Electronic Tenders will/will not be permitted [select],option_instruction,Not used by this released pattern,,N/A - fixed to electronic; no select-one instruction rendered,N/A,Reviewed,"S6: electronic submission is the fixed release choice; the source's will/will-not-permit selector is resolved, not rendered. Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
