form_id,official_form_name,source_pages,included,variant_selected,fixed_text_complete,prefilled_keys,supplier_fields,award_fields,review_status,review_note
FORM-TENDER,Form of Tender,40-42,TRUE,N/A - single form,TRUE,"tender.title,tender.reference,procuring_entity.name,goods,related_services,procuring_entity.contact_office",Date of Tender submission; state-owned-enterprise declaration selection; discounts and calculation methodology; commissions/gratuities/fees disclosure; Tenderer name and authorised signatory name/title/signature/date,N/A,Reviewed,"Per coverage register COV-182-COV-193; Option 2 (multiple lots) wording removed since one award package is fixed (S2); Alternative Tender identification not rendered (Alternative Tenders not permitted, S6). Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-CITD,Certificate of Independent Tender Determination,43-44,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.title,tender.reference",Clause 5 disclosure selection; Name/Title/Date signature block,N/A,Reviewed,"Per coverage register COV-194-COV-197; fixed wording locked, Tender identity prefilled. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-SD1,Form SD1 - Self-declaration that person/Tenderer is not debarred,44,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.title,tender.reference",Title/Signature/Date and Bidder Official Stamp block,N/A,Reviewed,"Per coverage register COV-199-COV-201. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-SD2,Form SD2 - Self-declaration that person/Tenderer will not engage in corrupt or fraudulent practice,44-45,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.title,tender.reference",Deponent name/company/title and signature block (same pattern as SD1),N/A,Reviewed,"Per coverage register COV-202-COV-203. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-COE,Declaration and Commitment to the Code of Ethics,45-46,TRUE,N/A - single form,TRUE,procuring_entity.contact_office,Signatory name/position/address/firm/date/witness block,N/A,Reviewed,"Per coverage register COV-204-COV-205; Code of Ethics website reference sourced from procuring_entity.contact_office (COV-191). Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-APP1,Appendix 1 - Fraud and Corruption (fixed legal text),46-48,TRUE,"N/A - single form, not to be modified",TRUE,,"None - fixed legal text only, attached to the Certificate of Independent Tender Determination",N/A,Reviewed,"Per coverage register COV-206; source states 'Appendix 1 shall not be modified', rendered verbatim with no insertion keys. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-TIF,Tenderer Information Form,49,TRUE,N/A - single form; JV member sub-field printed as Locked wording but not an active input (see FORM-JV),TRUE,"tender.title,tender.reference","Items 1-7: name, registration, address, representative, attached documents",N/A,Reviewed,"Per coverage register COV-207-COV-211; Alternative No. field not rendered (Alternative Tenders not permitted, S6); JV member details (item 2) not active per S9.2 and COV-211/COV-217. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-CBQ,Tenderer's Eligibility Confidential Business Questionnaire Form,50-52,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.reference,tender.opening_datetime",Business structure detail blocks; Disclosure of Interest / Conflict of interest table (items 1-9); certification name/title/signature/date,N/A,Reviewed,"Per coverage register COV-212-COV-216. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-JV,Tenderer's JV Members Information Form,53-54,TRUE,N/A - single form,TRUE,"tender.title,tender.reference","JV member identity, registration, address, authorized representative, attached documents",N/A,Reviewed,"Resolved 2026-08-28 (Gate D second round, #38): included - Version 1.0 places no cap on JV membership (TDS ITT 3.1 fixed statement added), so the JV Members Information Form is retained."
FORM-PS-IMPORT-TOBE,"Price Schedule: Goods Manufactured Outside Kenya, to be Imported (Group C)",56,FALSE,N/A - not published,N/A,,N/A - not published,N/A,Reviewed - confirmed excluded,"Per coverage register COV-219: S8.3 uses one generated price-row structure (FORM-PS-KENYA), not the Margin-of-Preference Group A/B/C import-variant schedules; margin of preference/reservation is unapproved for Version 1.0 (S6). Gate D remediation - review sweep: confirmed genuinely absent from complete_tender.html (searched by form name/heading, no match) and from invitation_to_tender.html; exclusion rationale re-checked and coherent."
FORM-PS-IMPORT-DONE,"Price Schedule: Goods Manufactured Outside Kenya, already imported (Group C)",57,FALSE,N/A - not published,N/A,,N/A - not published,N/A,Reviewed - confirmed excluded,"Per coverage register COV-220: same basis as FORM-PS-IMPORT-TOBE. Gate D remediation - review sweep: confirmed genuinely absent from complete_tender.html (searched by form name/heading, no match) and from invitation_to_tender.html; exclusion rationale re-checked and coherent."
