key,kind,source_treatment,source_section,owner,task,label,data_type,required,condition,validation,example,downstream_use
procuring_entity.name,value,Inherited,S7.1,Requisition,,Procuring Entity name,text,TRUE,,Non-null; matches the authorised Requisition,Kenya Bureau of Standards,Invitation opening paragraph; TDS ITT1.1; Form of Tender; Certificate of Independent Tender Determination; Form SD1/SD2; Confidential Business Questionnaire; SCC GCC1.1(h); Section VIII forms
procuring_entity.address,value,Inherited,S7.1,Requisition,,Procuring Entity address,text,TRUE,,Non-null,"Popo Road, Off Mombasa Road, Nairobi","Invitation opening paragraph (PE name/contract name block, COV-007)"
procuring_entity.contact_office,value,Inherited,S7.1,Requisition,,"PE contact office (clarification, submission and contract notices)",text,TRUE,,"Sourced from governed PE data, not free text","KEBS Procurement Directorate, procurement@kebs.org, +254 20 000 0000","Invitation electronic-access paragraph, S11.1 item 5 (also covers the governed electronic-access/download particulars from COV-011 and COV-013, mapped to this existing key rather than a new one); TDS ITT6.1/6.5/49.1; Form of Tender Code of Ethics website reference; SCC GCC8.1 notices"
tender.procurement_method,value,Inherited,S7.1,Requisition,,Procurement method,enum,TRUE,,Must be Open Tender - Goods for template compatibility (S2),Open Tender,TDS ITT1.1; Invitation method statement; template-compatibility check
requisition.requirement_title,value,Inherited,S7.1,Requisition,,Requirement title (defaults the Tender title),text,TRUE,,"Used only as the default seed for tender.title, not rendered independently",Supply and delivery of ICT equipment,Seeds tender.title at Task 1; not separately rendered once tender.title is confirmed
requisition.authorised_quantity,value,Inherited,S7.1,Requisition,,Authorised quantity,number,TRUE,,Goods row quantities must reconcile with this total,50,Quantity-reconciliation check against goods rows (S8.1); not printed as a standalone figure
requisition.authorised_value,value,Inherited,S7.1,Requisition,,Authorised value,currency_amount,TRUE,,Scope/change-control check only; not disclosed unless required,"KES 18,000,000",Internal scope/change-control check; not rendered in supplier-facing text unless a specific clause requires disclosure
requisition.expected_delivery_date,value,Inherited,S7.1,Requisition,,Expected delivery date (latest permitted),date,TRUE,,goods.latest_delivery_date must not be later than this date,30 December 2026,"Validation bound for goods.latest_delivery_date (S8.1); internal check, not separately printed"
requisition.related_services_authorized,condition,Inherited,S7.1,Requisition,,Approved related-service need (gates the related-services schedule),boolean,TRUE,,Determines whether Section V.2 and the service_rows loop render,FALSE,Gates the service_rows loop and Section V.2 heading (S8.2)
technical_specification.title,value,Governed document,S7.1; S8.4,Governed platform data,,Technical specification title,text,TRUE,,"Approved, controlled document must exist and be readable",ICT Equipment Technical Specification - REQ-KEBS-2026-ICT-0001,Section V cover sheet naming the specification (S8.4); package_index.md
technical_specification.version,value,Governed document,S7.1; S8.4,Governed platform data,,Technical specification version,text,TRUE,,Must be present on the approved document,v1.0,Section V cover sheet
technical_specification.approval_date,value,Governed document,S7.1; S8.4,Governed platform data,,Technical specification approval date,date,TRUE,,Approved status and date must be present,1 October 2026,Section V cover sheet; readiness check (S8.4/S16)
technical_specification.publication_filename,value,Governed document,S7.1; S8.4,Governed platform data,,Technical specification publication filename,text,TRUE,,Must match the file listed in package_index.md,kebs_technical_specification.pdf,Section V cover sheet; package_index.md cross-check
technical_specification.file_digest,value,Governed document,S7.1; S8.4,Governed platform data,,Technical specification SHA-256 digest,text,TRUE,,Must match the published PDF's digest,sha256:0000...,Section V cover sheet; consistency check against the published PDF (S11.3)
tender.title,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender title,text,TRUE,,Non-null; defaults from requisition.requirement_title but officer may edit,Supply and delivery of ICT equipment,Invitation heading; TDS ITT1.1; Form of Tender; Certificate of Independent Tender Determination; Form SD1/SD2; Beneficial Ownership Disclosure Form
tender.issue_date,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender issue date,date,TRUE,,Non-null,8 October 2026,Invitation publication date; TDS
tender.clarification_deadline,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Clarification deadline,datetime,TRUE,,"After issue date, before submission deadline","19 October 2026, 17:00 EAT",Invitation clarification paragraph; TDS ITT6.1
tender.submission_deadline,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Submission deadline,datetime,TRUE,,"Non-null, after issue date and clarification deadline","29 October 2026, 11:00 EAT",Invitation submission-deadline paragraph; TDS ITT21.1; feeds tender.opening_datetime generation
tender.validity_days,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender validity in days,number,TRUE,,"Non-null, multiple of seven",120,TDS ITT17.1; feeds tender.validity_date generation; Form of Tender
tender.tender_security.type,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender security treatment,enum,TRUE,,Fixed to 'Tender Security' for Version 1.0; the Tender-Securing Declaration path is excluded (open_issues.md Pass 2 item 7),Tender Security,Invitation security summary; TDS ITT18.1; determines that the Form of Tender Security (not the Declaration) is the applicable form
tender.tender_security.currency,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender security currency,currency_code,TRUE,,Should equal tender.currency unless otherwise justified,KES,Invitation security summary; TDS ITT18.1; Form of Tender Security prefill
tender.tender_security.amount,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Tender security amount,currency_amount,TRUE,,"Non-null, positive","KES 300,000",Invitation security summary; TDS ITT18.1; Form of Tender Security prefill
tender.pre_tender_meeting.enabled,condition,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Pre-tender meeting held (Yes/No),boolean,TRUE,,,FALSE,Gates the pre-tender-meeting paragraph in the Invitation/TDS (ITT 6.2-6.3)
tender.pre_tender_meeting.details,value,Officer value,S7.2 Tender details,Procurement Officer,Task 1 Tender details,Pre-tender meeting date/location/details,text,FALSE,tender.pre_tender_meeting.enabled,Required only when tender.pre_tender_meeting.enabled is TRUE,N/A - no pre-tender meeting,Invitation/TDS ITT6.2-6.3 when enabled
goods.description,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Goods description (per row),text,TRUE,,"Plain, supplier-readable",Business laptops,Section V.1 goods schedule row; Form of Tender clause (d) conformity summary; Price Schedule row identity
goods.quantity,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Quantity (per row),number,TRUE,,Total across rows must reconcile with requisition.authorised_quantity,25,Section V.1 goods schedule row; Price Schedule row
goods.unit,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Unit (per row),enum,TRUE,,From the governed unit list,each,Section V.1 goods schedule row
goods.destination,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Final destination (per row),text,TRUE,,Required,"KEBS Coast Region Office, Mombasa",Section V.1 goods schedule row; TDS ITT13.8
goods.latest_delivery_date,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Latest delivery date (per row),date,TRUE,,Not later than requisition.expected_delivery_date,30 December 2026,Section V.1 goods schedule row; SCC delivery/warranty rows
goods.minimum_warranty,value,Officer value,S7.2 Goods and delivery; S8.1,Procurement Officer,Task 2 Goods and delivery,Minimum warranty (per row),text,TRUE,,Required for this pattern,36 months,Section V.1 goods schedule row; TDS ITT15.4; SCC GCC28.3 warranty rows
related_services.description,value,Officer value,S7.2 Goods and delivery; S8.2,Procurement Officer,Task 2 Goods and delivery,Related service description (per row),text,FALSE,requisition.related_services_authorized,Consistent with the Requisition,Installation and configuration,Section V.2 related-services schedule row
related_services.quantity,value,Officer value,S7.2 Goods and delivery; S8.2,Procurement Officer,Task 2 Goods and delivery,Related service quantity (per row),number,FALSE,requisition.related_services_authorized,,1,Section V.2 related-services schedule row
related_services.unit,value,Officer value,S7.2 Goods and delivery; S8.2,Procurement Officer,Task 2 Goods and delivery,Related service unit (per row),enum,FALSE,requisition.related_services_authorized,From the governed unit list,lot,Section V.2 related-services schedule row
related_services.place_of_performance,value,Officer value,S7.2 Goods and delivery; S8.2,Procurement Officer,Task 2 Goods and delivery,Place of performance (per row),text,FALSE,requisition.related_services_authorized,,"KEBS Coast Region Office, Mombasa",Section V.2 related-services schedule row
related_services.completion_date,value,Officer value,S7.2 Goods and delivery; S8.2,Procurement Officer,Task 2 Goods and delivery,Completion date (per row),date,FALSE,requisition.related_services_authorized,Within the authorised delivery boundary,15 December 2026,Section V.2 related-services schedule row
tender.currency,value,Officer value,S7.2 Price schedule,Procurement Officer,Task 3 Price schedule,Tender currency,currency_code,TRUE,,Exactly one currency (S2/S6),KES,TDS/Price Schedule header; ITT14 currency clause
price.fixed_price_confirmed,value,Officer value,S7.2 Price schedule,Procurement Officer,Task 3 Price schedule,Fixed-price confirmation,boolean,TRUE,,"Must equal TRUE for Version 1.0 - price adjustment not supported (S6); the rendered clauses (COV-129 TDS ITT13.5, COV-250 SCC GCC15.1) state this as fixed wording once confirmed",TRUE,TDS ITT13.5/17.3; SCC GCC15.1 (rendered as 'prices shall not be adjustable')
price.tax_display_treatment,value,Officer value,S7.2 Price schedule,Procurement Officer,Task 3 Price schedule,Tax display treatment,enum,TRUE,,One of 'Shown separately' / 'Included',Shown separately,Price Schedule form header and total presentation
submission.manufacturer_authorisation_required,condition,Officer value,S7.2 Submission/evaluation,Procurement Officer,Task 4 Submission and evaluation,Manufacturer authorisation required,boolean,TRUE,,,TRUE,TDS ITT16.2(a); gates inclusion of the Manufacturer's Authorization Form (COV-230)
submission.datasheet_required,condition,Officer value,S7.2 Submission/evaluation,Procurement Officer,Task 4 Submission and evaluation,Datasheet or brochure required,boolean,TRUE,,,TRUE,Evidence checklist entry
submission.comparable_experience.required,condition,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Comparable supply experience required (if justified),boolean,TRUE,,Only set TRUE with a stated justification,TRUE,Gates Section III.4.2(b) qualification criterion
submission.comparable_experience.count,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Number of comparable supply contracts required,number,FALSE,submission.comparable_experience.required,,2,Section III.4.2(b) qualification criterion
submission.comparable_experience.period_years,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Period over which comparable contracts are counted (years),number,FALSE,submission.comparable_experience.required,,5,Section III.4.2(b) qualification criterion
submission.after_sales_support_required,condition,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,After-sales support evidence required (if justified),boolean,TRUE,,,TRUE,TDS ITT16.2(b); gates the after-sales evidence checklist entry
submission.after_sales_support_evidence,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Stated after-sales support evidence required,text,FALSE,submission.after_sales_support_required,Must state what evidence proves the requirement,Service-centre details and escalation contacts,Evidence checklist entry
submission.additional_evidence.required,condition,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Additional evidence item required,boolean,TRUE,,Only one short additional item permitted,FALSE,Gates the additional-evidence checklist entry
submission.additional_evidence.description,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,Additional evidence item description,text,FALSE,submission.additional_evidence.required,Must state the requirement it proves,N/A,Evidence checklist entry
submission.additional_evidence.linked_requirement,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,The visible published requirement the additional evidence proves,text,FALSE,submission.additional_evidence.required,Must reference a requirement actually published elsewhere in the Tender; an unexplained item fails curation review (S9.3),N/A,Evidence checklist entry
contract.payment_terms,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Payment timing (descriptive rule),text,TRUE,,"Must not offer an advance-payment option (fixed at 0%, open_issues.md Pass 2 item 9)","Within 30 days after delivery, inspection, acceptance and a valid invoice",SCC GCC16.1
contract.payment_days,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Payment period in days,number,TRUE,,,30,SCC GCC16.1
contract.performance_security.required,condition,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Performance Security required,boolean,TRUE,,,TRUE,TDS ITT47.3; SCC GCC18.1
contract.performance_security.percentage,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Performance Security percentage,number,FALSE,contract.performance_security.required,,10,TDS ITT47.3; SCC GCC18.1; Form No. 5 prefill
contract.performance_security.form_variant,value,Locked,S6; S10,System,,Performance Security form variant,enum,TRUE,,Fixed to 'Unconditional Demand Bank Guarantee' for Version 1.0; the competing Performance Bond variant (Form No. 6) is not published (COV-282),Unconditional Demand Bank Guarantee,SCC GCC18.3; determines which Section VIII performance-security form is published
contract.delay_damages.rate_per_week,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Delay damages rate per week (%),number,TRUE,,Within released limits,0.5,SCC GCC27.1
contract.delay_damages.cap_percent,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Delay damages cap (%),number,TRUE,,Within released limits,10,SCC GCC27.1
contract.inspection_acceptance_office,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Inspection and acceptance office/location,text,TRUE,,,"KEBS Coast Region Office, Mombasa",Section V.5 inspections and tests; SCC GCC26.1/26.2
contract.contact_office,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Contract contact office,text,TRUE,,"Must be a governed office, not a private contact (S10)",KEBS Procurement Directorate,SCC GCC8.1 contract notices
tender.reference,value,Generated,S7.3,System,,Tender reference,text,TRUE,,Unique per the released naming rule,TND-KEBS-2026-0001,Cover page; Invitation; TDS; all forms
tender.opening_datetime,value,Generated,S7.3,System,,Tender opening date/time,datetime,TRUE,,Equals tender.submission_deadline under the immediate electronic opening rule,"29 October 2026, 11:00 EAT",Invitation opening paragraph; TDS ITT24.1
tender.validity_date,value,Generated,S7.3,System,,Tender/security validity date,date,TRUE,,"Derived from tender.submission_deadline, tender.validity_days and the official extra period",26 February 2027,Form of Tender Security expiry prefill
tender.tender_security.bank_guarantee_expiry_date,value,Generated,S7.3,System,,Bank Guarantee tender security expiry date,date,TRUE,,"Computed as tender.validity_date + thirty (30) calendar days per ITT 18.4; never officer-entered",28 March 2027,Form of Tender Security - Option 1 (Demand Bank Guarantee) expiry clause
tender.tender_security.insurance_guarantee_expiry_date,value,Generated,S7.3,System,,Insurance Guarantee tender security expiry date,date,TRUE,,"Computed as tender.validity_date + twenty-eight (28) calendar days per the Insurance Guarantee form's own terms; never officer-entered",26 March 2027,Form of Tender Security - Option 2 (Insurance Guarantee) expiry clause
